id_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,code_postal,surface_reelle_bati,nombre_pieces_principales,longitude,latitude
2022-1352907,580000.0,13.0,RUE DE SOFIA,75018.0,20.0,2.0,2.348168,48.88449
2022-1352907,580000.0,13.0,RUE DE SOFIA,75018.0,25.0,2.0,2.348168,48.88449
2022-1352908,605000.0,51.0,RUE CHARLOT,75003.0,42.0,3.0,2.362871,48.863374
2022-1352911,716250.0,6.0,RUE PAUL ESCUDIER,75009.0,69.0,3.0,2.332324,48.880353
2022-1352912,320000.0,4.0,RUE DU CHATEAU LANDON,75010.0,33.0,2.0,2.362613,48.879658
2022-1352913,320000.0,134.0,AV GAMBETTA,75020.0,29.0,1.0,2.405513,48.872782
2022-1352914,220000.0,9.0,RUE ELYSEE MENILMONTANT,75020.0,36.0,2.0,2.386648,48.869335
2022-1352915,280000.0,18.0,RUE DES HAIES,75020.0,28.0,2.0,2.400622,48.852508
2022-1352916,200000.0,195.0,RUE DE CRIMEE,75019.0,27.0,2.0,2.375845,48.891167
2022-1352917,677500.0,79.0,RUE DES GRAVILLIERS,75003.0,58.0,3.0,2.353479,48.864674
2022-1352918,445000.0,4.0,RUE GEORGES LARDENNOIS,75019.0,47.0,2.0,2.375861,48.877955
2022-1352919,425890.0,129.0,BD MORTIER,75020.0,52.0,2.0,2.408031,48.873089
2022-1352921,660000.0,141.0,RUE DES POISSONNIERS,75018.0,81.0,3.0,2.352517,48.895742
2022-1352923,820000.0,89.0,RUE DE ROME,75017.0,70.0,3.0,2.319232,48.883017
2022-1352924,293000.0,7.0,RUE SAINT-MARC,75002.0,22.0,1.0,2.341378,48.870214
2022-1352925,405970.0,42.0,RUE LOUIS BLANC,75010.0,40.0,3.0,2.364455,48.881942
2022-1352926,505000.0,14.0,RUE DU PERCHE,75003.0,48.0,2.0,2.361158,48.861123
2022-1352927,247500.0,15.0,RUE DU HUIT MAI 1945,75010.0,19.0,1.0,2.356846,48.876155
2022-1352928,616750.0,82.0,RUE DES HAIES,75020.0,40.0,2.0,2.40389,48.854813
2022-1352929,14800.0,28.0,RUE LA CONDAMINE,75017.0,30.0,2.0,2.322935,48.887298
2022-1352930,300000.0,55.0,RUE STEPHENSON,75018.0,38.0,1.0,2.355461,48.88954
2022-1352931,504650.0,23.0,RUE DU TERRAGE,75010.0,52.0,2.0,2.362334,48.877306
2022-1352932,755000.0,37.0,RUE JOSEPH DE MAISTRE,75018.0,59.0,4.0,2.33034,48.892205
2022-1352934,335000.0,75.0,AV NIEL,75017.0,33.0,2.0,2.295735,48.882706
2022-1352935,514500.0,18.0,RUE DARCET,75017.0,54.0,3.0,2.32501,48.88418
2022-1352936,725000.0,16.0,CITE DE TREVISE,75009.0,70.0,3.0,2.34717,48.875019
2022-1352937,150000.0,7.0,RUE DU CAPITAINE FERBER,75020.0,14.0,1.0,2.405101,48.86549
2022-1352939,963000.0,31.0,RUE DES BATIGNOLLES,75017.0,76.0,3.0,2.320776,48.884763
2022-1352940,15000.0,114.0,RUE DE MEAUX,75019.0,15.0,1.0,2.381779,48.88543
2022-1352941,441800.0,21.0,RUE JEAN LECLAIRE,75017.0,45.0,2.0,2.325655,48.894863
2022-1352942,296400.0,3.0,RUE PAUL DUBOIS,75003.0,23.0,2.0,2.360887,48.865301
2022-1352943,210000.0,8.0,PAS DESGRAIS,75019.0,26.0,1.0,2.37291,48.891561
2022-1352944,1250000.0,99.0,BD MALESHERBES,75008.0,64.0,3.0,2.314225,48.878897
2022-1352945,214160.0,7.0,RUE DU CARDINAL MERCIER,75009.0,25.0,1.0,2.329484,48.881339
2022-1352946,309000.0,30.0,RUE DES BOIS,75019.0,41.0,2.0,2.399576,48.878162
2022-1352948,485000.0,62.0,AV CLAUDE VELLEFAUX,75010.0,70.0,3.0,2.370665,48.876632
2022-1352949,379300.0,23.0,RUE BLANCHE,75009.0,29.0,1.0,2.331073,48.87934
2022-1352951,1150000.0,60.0,RUE BLANCHE,75009.0,88.0,4.0,2.331698,48.880751
2022-1352952,350000.0,183.0,RUE SAINT MAUR,75010.0,30.0,2.0,2.372114,48.870918
2022-1352954,310000.0,6.0,PAS DES FOURS A CHAUX,75019.0,66.0,3.0,2.373024,48.879531
2022-1352955,100000.0,9.0,RUE DE LABORDE,75008.0,10.0,1.0,2.322081,48.875556
2022-1352956,448500.0,6.0,AV DE FLANDRE,75019.0,48.0,3.0,2.369904,48.884552
2022-1352957,330000.0,47.0,RUE DES ACACIAS,75017.0,30.0,1.0,2.293326,48.878254
2022-1352958,360000.0,3.0,VLA STENDHAL,75020.0,39.0,2.0,2.401502,48.862231
2022-1352959,324500.0,171.0,BD DE LA VILLETTE,75010.0,69.0,3.0,2.364975,48.884056
2022-1352960,414270.0,6.0,RUE DE BEAUCE,75003.0,27.0,1.0,2.36094,48.862446
2022-1352961,500000.0,19.0,RUE PONCELET,75017.0,115.0,6.0,2.296942,48.879437
2022-1352962,765420.0,53.0,BD DE LA VILLETTE,75010.0,69.0,3.0,2.372439,48.875331
2022-1352963,365000.0,46.0,RUE DES ABBESSES,75018.0,28.0,1.0,2.336288,48.88558
2022-1352964,42000.0,41.0,RUE DE LA REUNION,75020.0,6.0,1.0,2.401783,48.854656
2022-1352965,722000.0,36.0,RUE DE MOSCOU,75008.0,63.0,3.0,2.323484,48.881567
2022-1352966,820000.0,72.0,RUE DUHESME,75018.0,81.0,4.0,2.343556,48.89373
2022-1352967,643500.0,22.0,RUE LEMERCIER,75017.0,56.0,3.0,2.324319,48.886283
2022-1352969,300600.0,7.0,RUE JOSEPH DIJON,75018.0,28.0,2.0,2.346863,48.893734
2022-1352971,192000.0,12.0,RUE FAUVET,75018.0,18.0,1.0,2.327259,48.889267
2022-1352972,873200.0,161.0,RUE MARCADET,75018.0,76.0,3.0,2.337299,48.891073
2022-1352973,1875500.0,52.0,RUE DU FBG POISSONNIERE,75010.0,160.0,4.0,2.348692,48.874583
2022-1352974,559500.0,33.0,RUE DE CHAZELLES,75017.0,46.0,2.0,2.305323,48.880806
2022-1352975,315000.0,25.0,RUE ST VINCENT DE PAUL,75010.0,28.0,2.0,2.352427,48.881744
2022-1352976,580000.0,46.0,RUE DE LANCRY,75010.0,55.0,3.0,2.362654,48.871712
2022-1352978,581934.0,1.0,RUE CIVIALE,75010.0,54.0,3.0,2.376032,48.87238
2022-1352979,385000.0,40.0,RUE DE LA JUSTICE,75020.0,58.0,3.0,2.407601,48.868473
