id_mutation,type_local,valeur_fonciere,adresse_numero,adresse_nom_voie,code_postal,surface_reelle_bati,nombre_pieces_principales,longitude,latitude
2022-1352915,Appartement,280000.0,18.0,RUE DES HAIES,75020.0,28.0,2.0,2.400622,48.852508
2022-1352924,Appartement,293000.0,7.0,RUE SAINT-MARC,75002.0,22.0,1.0,2.341378,48.870214
2022-1352926,Appartement,505000.0,14.0,RUE DU PERCHE,75003.0,48.0,2.0,2.361158,48.861123
2022-1352927,Appartement,247500.0,15.0,RUE DU HUIT MAI 1945,75010.0,19.0,1.0,2.356846,48.876155
2022-1352934,Appartement,335000.0,75.0,AV NIEL,75017.0,33.0,2.0,2.295735,48.882706
2022-1352935,Appartement,514500.0,18.0,RUE DARCET,75017.0,54.0,3.0,2.32501,48.88418
2022-1352937,Appartement,150000.0,7.0,RUE DU CAPITAINE FERBER,75020.0,14.0,1.0,2.405101,48.86549
2022-1352941,Appartement,441800.0,21.0,RUE JEAN LECLAIRE,75017.0,45.0,2.0,2.325655,48.894863
2022-1352942,Appartement,296400.0,3.0,RUE PAUL DUBOIS,75003.0,23.0,2.0,2.360887,48.865301
2022-1352943,Appartement,210000.0,8.0,PAS DESGRAIS,75019.0,26.0,1.0,2.37291,48.891561
2022-1352955,Appartement,100000.0,9.0,RUE DE LABORDE,75008.0,10.0,1.0,2.322081,48.875556
2022-1352957,Appartement,330000.0,47.0,RUE DES ACACIAS,75017.0,30.0,1.0,2.293326,48.878254
2022-1352960,Appartement,414270.0,6.0,RUE DE BEAUCE,75003.0,27.0,1.0,2.36094,48.862446
2022-1352964,Appartement,42000.0,41.0,RUE DE LA REUNION,75020.0,6.0,1.0,2.401783,48.854656
2022-1352969,Appartement,300600.0,7.0,RUE JOSEPH DIJON,75018.0,28.0,2.0,2.346863,48.893734
2022-1352975,Appartement,315000.0,25.0,RUE ST VINCENT DE PAUL,75010.0,28.0,2.0,2.352427,48.881744
2022-1352981,Appartement,328000.0,16.0,RUE LUCIEN SAMPAIX,75010.0,34.0,1.0,2.360901,48.87189
2022-1352982,Appartement,190000.0,101.0,RUE DU FBG SAINT DENIS,75010.0,19.0,1.0,2.355141,48.874902
2022-1352984,Appartement,302000.0,7.0,RUE DU MAIL,75002.0,25.0,1.0,2.34193,48.866846
2022-1352987,Appartement,180000.0,4.0,RUE SQUARE CARPEAUX,75018.0,16.0,1.0,2.333201,48.892588
2022-1353002,Appartement,187575.0,87.0,RUE PELLEPORT,75020.0,22.0,1.0,2.400045,48.869331
2022-1353009,Appartement,344000.0,115.0,RUE LA FAYETTE,75010.0,29.0,2.0,2.352668,48.878439
2022-1353010,Appartement,525400.0,7.0,RUE CONSTANCE,75018.0,45.0,3.0,2.333234,48.885374
2022-1353012,Appartement,129000.0,20.0,RUE DE L EQUERRE,75019.0,15.0,1.0,2.38239,48.874331
2022-1353019,Appartement,230000.0,13.0,RUE EUGENE VARLIN,75010.0,29.0,2.0,2.364113,48.878319
2022-1353028,Appartement,317000.0,73.0,RUE DE BAGNOLET,75020.0,35.0,2.0,2.399808,48.858197
2022-1353031,Appartement,390000.0,12.0,RUE DE SAINTONGE,75003.0,33.0,1.0,2.362349,48.861542
2022-1353032,Appartement,306000.0,6.0,RUE ANDRE ANTOINE,75018.0,26.0,2.0,2.337717,48.88289
2022-1353033,Appartement,435000.0,79.0,RUE VIEILLE DU TEMPLE,75003.0,18.0,1.0,2.359295,48.859193
2022-1353036,Appartement,128000.0,2.0,CITE ADRIENNE,75020.0,15.0,1.0,2.401826,48.85838
2022-1353037,Appartement,232000.0,13.0,RUE M. ELEONORE DE BELLEFOND,75009.0,16.0,1.0,2.34769,48.877414
2022-1353040,Appartement,134000.0,6.0,IMP DE LA DEFENSE,75018.0,14.0,1.0,2.327364,48.885267
2022-1353045,Appartement,467000.0,99.0,RUE ORFILA,75020.0,46.0,3.0,2.400474,48.868358
2022-1353050,Appartement,520000.0,10.0,RUE DU DOBROPOL,75017.0,54.0,2.0,2.286096,48.883131
2022-1353051,Appartement,322300.0,36.0,RUE LETORT,75018.0,31.0,2.0,2.343634,48.895639
2022-1353058,Appartement,310000.0,5.0,CITE HERON,75010.0,33.0,2.0,2.365038,48.874442
2022-1353063,Appartement,293000.0,8.0,RUE GUSTAVE ROUANET,75018.0,34.0,2.0,2.340625,48.896686
2022-1353068,Appartement,320000.0,23.0,RUE RODIER,75009.0,28.0,2.0,2.34279,48.87888
2022-1353069,Appartement,638000.0,7.0,BD BERTHIER,75017.0,80.0,2.0,2.312891,48.89375
2022-1353083,Appartement,630000.0,62.0,RUE TAITBOUT,75009.0,48.0,2.0,2.335512,48.87569
2022-1353086,Appartement,186000.0,48.0,RUE NOTRE-DAME DE LORETTE,75009.0,20.0,1.0,2.336368,48.879706
2022-1353087,Appartement,254000.0,24.0,RUE BUISSON ST LOUIS,75010.0,30.0,1.0,2.374538,48.872566
2022-1353088,Appartement,250000.0,49.0,RUE DE ROCHECHOUART,75009.0,16.0,1.0,2.345011,48.879296
2022-1353090,Appartement,100000.0,13.0,RUE DE L ECHIQUIER,75010.0,13.0,1.0,2.351948,48.87107
