id_mutation,type_local,valeur_fonciere,adresse_numero,adresse_nom_voie,code_postal,surface_reelle_bati,nombre_pieces_principales,longitude,latitude
2022-1372138,Appartement,555000.0,5.0,RUE LEMERCIER,75017.0,51.0,3.0,2.324731,48.885393
2022-1356190,Appartement,674000.0,5.0,RUE LEMERCIER,75017.0,54.0,3.0,2.324731,48.885393
2022-1354225,Appartement,500000.0,18.0,RUE DARCET,75017.0,42.0,3.0,2.32501,48.88418
2022-1360564,Appartement,520000.0,12.0,RUE TRUFFAUT,75017.0,45.0,3.0,2.323218,48.884695
2022-1358536,Appartement,608350.0,2.0,PAS DE CLICHY,75018.0,50.0,3.0,2.327731,48.884292
2022-1361858,Appartement,700000.0,10.0,AV DE CLICHY,75018.0,62.0,3.0,2.327317,48.884313
2022-1373194,Appartement,650000.0,8.0,RUE HELENE,75017.0,54.0,3.0,2.324987,48.88661
2022-1355021,Appartement,509860.0,10.0,RUE DU MONT-DORE,75017.0,42.0,3.0,2.32311,48.883357
2022-1367971,Appartement,546650.0,40.0,RUE DES DAMES,75017.0,40.0,3.0,2.323139,48.884339
2022-1353336,Appartement,571550.0,34.0,AV DE CLICHY,75018.0,62.0,3.0,2.327083,48.885825
