ID,Lien source,ImageURL,Prix,Features,Classe de performance énergétique,Classe d'émission à effet de serre,Description
61336352,https://immobilier.lefigaro.fr/annonces/annonce-61336352.html,"['https://lh3.googleusercontent.com/BUahKj0qlhLN7Ff_70sarStBrOmrWu42hFiPGFMqTJEN6nCGnH5u06UqJJKQCch7jWnqEqhxuxSw9NS7pdnZgI1EekNCCMN-gmH0KA=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/ZqOerD-kgj49ODzFYmLEY4ei9L2uum__g5CGu9NAuKgHyjCG9fmifkc-tM9hAY-Lf8XH5vPzI9SfdxPFaUh1O8WdwK9nO7u6qnT10vM=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/HAEx2MXODEpHDzYHFDh-ehQhlNEOUfkVicwf5WuwhRfir09bTAsqmo7_fJ6cf-gDhDaRZzBxpyCMXlVmpmzPRvrhzdAOvpfMt4dBPw=rj-w940-h605-l80']",1 290 000,"111m² de surface, 4 pièces, 3 chambres, 1 salle de bain, 1 salle d'eau, gaz, Ascenseur, Balcon, Cave, Parking",E,B,"Dans une résidence de standing, au pied du métro Exelmans, à deux pas des commerces. Nous vous proposons ce 4 pièces À RÉNOVER de 110,77 m2 carrez avec 20 M2 DE TERRASSE et 13,6 M2 DE BALCON (117 m2 pondéré), au 2ème étage par ascenseur.Il se compose d'une entrée avec rangement, d'un séjour sur "
62541580,https://immobilier.lefigaro.fr/annonces/annonce-62541580.html,"['https://lh3.googleusercontent.com/IV_oIioz3WSuO4JxnccCf5WyhpcqybHy4N9XA7oBSp-wQnVR-sZLTbCMpYuKRZ7rd9w7y6-u5ifO2oSvxTlXMoO1gwMR13Ul7L0t-aM=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/Eg13soDdaFIVJSS__s9DZ1j3wH9RmSh4wLSuqyeZeI7OWBUYKOVwEr3gPvHjDzd0M6vUxSoBFaOdFBUuewvVPO8WmryJ9YeR9SGF=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/MJ9_j72NtMjP41tLOPChZAGPr-AyACTiCnecYSy-QIDETzGIk1QQMCuE4BivD20bpw_PXmgKDKd15wJtKZ3uj4hmHmq_PgVI4uJu=rj-w940-h605-l80']",79 000,"7.36m² de surface, 1 pièce, 1 chambre, 1 salle d'eau, chauffage électrique, Exposition Ouest, Interphone",Non communiqué,Non communiqué,"EXCLUSIVITE / Gare de lyon / Michel Chasles - Dans un très bel immeuble en pierre de taille idéalement situé à deux pas de la Gare de Lyon et de la Coulée Verte,, située au dernier étage, superbe chambre de service de 7.34 m2 habitables  (6.34m2 loi carrez) comprenant une pièce avec kitchenette et u"
41310061,https://immobilier.lefigaro.fr/annonces/annonce-41310061.html,"['https://lh3.googleusercontent.com/hO1mVdFOzWb7u25wyy83d5ErzvVl0URAtqAx_iyCKcrqP0vtJFJYshAbDD851_5J3oxBV66SswcrT2lb3eJtDx9_s3IwsQ72nQ4O=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/K0HxKKQ5MLMDO_pzzJ4oFITk58VT2LiJS019tCyWlM32t9eYlDQTCVsYmJW5yz2oFY5E8Xx2qk_ELvMqLV1hoFjCH8QipgShmEqB6w=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/upFw7kEi8HiLQfdWiDUAOG5fDT3LFB0xPg9uJUQ0ifmSleCfCAJkp-ykiY3tPjQCQdjAoxUrn5k0djSYsThjzDNhsDWJ15_va6bRiQ=rj-w940-h605-l80']",1 290 000,"105.4m² de surface, 3 pièces, 2 chambres, 1 salle de bain, Exposition Est, Ascenseur, Cave",E,E,"Paris VIIe - Barbet de Jouy - Immeuble 1980 de standing, un appartement de 106m² Carrez au calme sur jardin. Il se compose d'une entrée, d'un séjour avec de grandes baies vitrées, d'une cuisine semi-ouverte, d'une chambre parentale avec salle de bains et dressing, d'une deuxième chambre et de toilet"
62006458,https://immobilier.lefigaro.fr/annonces/annonce-62006458.html,"['https://lh3.googleusercontent.com/6DooXAQ-6M_TUciCq35gupIxMOiT8PX9s456OmcegBpTUePEgC1Bz3D_6NOz1E1pkzmc7klb6wjVMVumPYN2L_jHfcODFYEqqQKT=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/TIsA8ZYU1VntDL3hIPGpKa8JPFPu9ckE8IgXdg1sWBiLoiRv3aLPVmpu40Km5eCAB88cBqxgggtTTOJKgCFoPbdVsw9TQtBiaU5c_WM=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/n6JL4DD7KFzDsSCiIkElH5JuLum16KKfIAMZ0TDdcAelmCIRvzgCkcv3bMDeOyzCUbcEOdK6FZf6VfRi8Df1F_xh9h3Ms352Z_VokQ=rj-w940-h605-l80']",1 290 000,"102m² de surface, 4 pièces, 3 chambres, 1 salle de bain, 1 salle d'eau, gaz, Exposition Sud, Ascenseur, Balcon, Cave, Climatisation, Parking",Non communiqué,Non communiqué,"Bd Flandrin.  Dans un très bel immeuble de standing avec des parties communes entièrement rénovées un appartement de 102m² environ situé au 5eme étage avec ascenseur qui se compose d'une entrée, un double séjour/salle à manger de 50m² donnant sur un balcon avec une orientation plein sud, une cuisine"
59594930,https://immobilier.lefigaro.fr/annonces/annonce-59594930.html,"['https://lh3.googleusercontent.com/wWMPFE_EZ2ugqMm6rI4pGlADdtNsjle-isDEtFCH1AJLpBWL_qjXUpDNNmu982iCyuCxvdfHJTU3vsBkJhVVuha0v7d33KuQParuN0I=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/QZqTomdwB9dgbdrlkfbeoSwqjSdBDrgImlhev087SQ7FEupzehJEd7FRbt4YYjtqglGjHTtsfrvP40FT5OAhJFs73JQUrM7Sj3nJ=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/4mkFTCwsa9n-hEPWNZkA_xY3ZDdK7RtQP5qmrNELZzGvCVSwqxbnwWMUhCT1vEUrHB02iFYkE7hPBzBgNa63X9eJs2yvRRWvVzx6FA=rj-w940-h605-l80']",1 290 000,"121.6m² de surface, 4 pièces, 3 chambres, 1 salle d'eau, gaz, Exposition Ouest, Ascenseur, Balcon, Cave, Cheminée",E,E,"Boulevard Barbès. Au deuxième étage par ascenseur d'un bel immeuble en pierre de taille bien entretenu, superbe appartement de 121,60m² loi Carrez et 122,93m² au sol en parfait état. Il comprend une galerie d'entrée, un spacieux séjour exposé ouest agrémenté d'un balcon, une cuisine indépendante, tr"
59165022,https://immobilier.lefigaro.fr/annonces/annonce-59165022.html,"['https://lh3.googleusercontent.com/ggzH5zHTeI6h12KnKwzxolfQzfxluMic2tV9W5Ev8Fqew3jeHNaSh4pTBE79dT7FYqXTT00nEefQWpi6PuLlrkGSN64HmagYqlZkYQ=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/THjuEZ1uSuWMr9MQIDmoeRwVbFhqP8ExbfC5A-wT4ml7qXJQALCBG4icC5bOacNqqZ50wLl9U_OLtaCjJ7DIBX3TD9mnfOQ-t_vDAg=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/ybMEsRj3xeNKk8dNyzHjCJ9G5d4yKJUHEot8zeEsYFUMSBusuiyfyKiOCok3d1tkb8xsVg-GASukBHqQqbNUbSg9dwHUWYq8ODHpaQ=rj-w940-h605-l80']",1 290 000,"87m² de surface, 4 pièces, 3 chambres, 1 salle de bain, 1 salle d'eau, chauffage électrique, Digicode",E,B,"Proche de la Tour Saint Jacques, cet appartement sur plusieurs niveaux de 86,91 m2 Carrez se niche aux derniers étages d'un immeuble du XVIIIe et offre une exceptionnelle terrasse plein-ciel de 22 m2 sans vis-à-vis. Depuis le 5ème étage sans ascenseur, un escalier privatif mène à une pièce de vie c"
62871584,https://immobilier.lefigaro.fr/annonces/annonce-62871584.html,"['https://lh3.googleusercontent.com/oure1CUUoxjqAaEaTiExakN_QLJ78I5iRdzm2OmCaygxLBeSaTwjAazAjlcPdsd-F9B96GFjBQZ-kdaXKcumamKRlVuwp-Gs2DvIKg=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/LAYX2MD9_cq6-Wk-loSenLpP7_HWzvW1MW_LfvqNQAtKmkVjAWwB25xvbhAtLXZo3xay7M4_0s7fRDX6p0D57bmO18TGPTYoH73V3Q=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/ofk0IcB2vLgfuHkiTh-QM3L_SXRn8r2ADmqZiezxkj6xM3inng_-V0sYMWE8vdGeXPWXgURCZpaPswYBilqh5kXH_IJXLL13F1DStw=rj-w940-h605-l80']",1 290 000,"91m² de surface, 5 pièces, 3 chambres, 1 salle de bain, gaz, Ascenseur, Interphone, Cave, Gardien",F,F,"75007 APPARTEMENT 5 PIÈCES avec AscenseurQuartier VANEAU / SEVRES / MATIGNONDans cette copropriété de la rue Vaneau, appartement qui se situe au 3ème étage d'un immeuble ancien de bon standing.Les pièces se répartissent sur 90.53m² carrez : une entrée, un double séjour très agréable avec 3 grande"
61764446,https://immobilier.lefigaro.fr/annonces/annonce-61764446.html,"['https://lh3.googleusercontent.com/VvqxKKxRWSD9WpthCdV4_YhXgRa6iMoYjO3_A71b2Ia30xk-7EXrdDEAjn45tFxATDMS0B_nmcylpwsYJZ_m00544NY48VCLfO-RRA=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/guu-WeEZ1xiwVR4__tOpaPBddOuTztz30fFIhqECjPtnwLmBvAQzib5L-YZkf4glpuniD0SlJgAAcJmxkr5hHQlv_StRn-TRz8g3=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/JnlaOdn0_s-sS_Lfu-VyljBZQ-5WuQI5PK0APn6pSwaB4pShl4B-28uXKkW6eSOUZzBSqR-Y4Fesr4cQegL6iNSwR8xOZAgG4XGqFqE=rj-w940-h605-l80']",1 290 000,"105.4m² de surface, 4 pièces, 2 chambres, 1 salle de bain, Ascenseur",E,E,"Dans une résidence moderne de standing, Consultants Immobilier vous propose un appartement lumineux en rez-de-jardin de 105 m2. Son emplacement garantit calme et silence absolu. L'appartement se compose ainsi: un séjour avec de grandes baies vitrées qui donnent sur le jardin, une cuisine semi-"
62184270,https://immobilier.lefigaro.fr/annonces/annonce-62184270.html,"['https://lh3.googleusercontent.com/bgofkPS_a-V3hlO5mEa9y_hdmitGlbUqs8SW4yToCxwuVQ2vQWJIRnsmCl7vgc_UAZnShiAgbvkAGY956JTX5egsAUsnoZYJ7TDJGQ=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/z1LWDQoxxKNHvfhjrEG8C8wBbMdYUeBppVyo8ft3RUJrUW7KQzyqSLnVj104881VtkEtQ9cEcV0ndlnUQLXDpu2bh2nlztX6EAIDveQ=rj-w940-h605-l80', 'https://lh3.googleusercontent.com/kJpuUOcK7BREH6uN3WoCov9wUdvhasOpMn1ghDUWA8b51mlVmc-nYUCNM85ShNAQiWccx8XxLwofYLfdXlXNX3OYluHO65KWVOnvlw=rj-w940-h605-l80']",1 290 000,"109.8m² de surface, 4 pièces, 2 chambres, 2 salles d'eau, Interphone, Cave, Digicode, Gardien",E,E,"PARIS XIV - DENFERT ROCHEREAU - 4/5 PIECES EN PARFAIT ETAT My Home Connexion est ravi de vous présenter en exclusivité cet appartement de 4/5 pièces au coeur d'un secteur privilégié, à 2 pas de de la place Denfert Rochereau, de Montparnasse, de divers espaces verts, des transports comme de tout Pari"
38501245,https://immobilier.lefigaro.fr/annonces/annonce-38501245.html,https://lh3.googleusercontent.com/eGFZvijtjs89ydnH_tvuzXV1vCYwc4ZFA9AGMyAGsskn-bOAouMDYSXv3gdbm9gd0FMJ5fzHfNJ5vzVf4fTcvZYgfLYD6KvlNwKhqw=rj-w940-h605-l80,1 290 000,"110m² de surface, 5 pièces, 3 chambres, Exposition Ouest-Est, Ascenseur",Non communiqué,Non communiqué,"17è quartier et rue de Courcelles, dans immeuble pierre de taille, ce 5 pièces vous attend avec : entrée galerie, double séjour de 36M, 3 chambres de 13 à 16m, cuisien séparée, salle de bain, salle d'eau, 1 wc, possible 2. Parquet, moulures, cheminée. DPE D. Proximité commerces& transports. Votre co"
